,Unnamed: 0,datetime,address,lat,long,weather,dead_count,injured_count,severity,cloudcover,dew,humidity,precip,temp,visibility,wspd
0,0,2015-01-01 00:40:00,"д Кобяково (гп Голицыно), А-107 Московское малое кольцо Икша - Ногинск - Бронницы - Голицыно - Истра - Икша, 9 км",55.542778,37.004167,4,0.0,1.0,3,97.3,16.4,87.91,0.0,19.4,3.6,12.1
1,1,2015-01-01 01:00:00,"г Красногорск, ш Волоколамское",55.493056,37.184444,2,0.0,1.0,3,98.3,16.2,87.43,0.0,19.3,3.9,13.3
2,2,2015-01-01 01:55:00,"д Бородино, ул Осташковская, 18-1",55.918889,37.661667,2,0.0,1.0,1,99.9,18.1,90.37,0.0,20.5,3.7,8.1
3,3,2015-01-01 03:55:00,"г Москва, км МКАД 53-й",55.4224,37.2333,2,0.0,2.0,3,97.8,16.3,87.84,0.0,19.3,4.0,12.1
4,4,2015-01-01 07:50:00,"г Одинцово, тер Можайское шоссе 27 км, 3-2",55.667778,37.255278,2,0.0,1.0,1,100.0,15.7,85.69,0.0,19.3,3.7,17.7
5,5,2015-01-01 17:20:00,"г Москва, ул Центральная",55.608056,37.3525,4,1.0,0.0,2,99.8,16.0,86.13,0.0,19.4,3.8,16.7
6,6,2015-01-01 21:00:00,"г Москва, проезд Карамзина, 17-8",55.589444,37.541667,1,0.0,1.0,3,99.5,16.6,87.47,0.0,19.7,4.2,13.2
7,7,2015-01-01 22:00:00,"А-104 Москва - Дмитров – Дубна, 26 км",55.993333,37.533889,1,0.0,1.0,3,99.9,17.7,86.9,0.0,21.0,3.2,13.9
8,8,2015-01-02 05:40:00,"г Москва, пл Старая, 2-14",55.756389,37.63,2,0.0,1.0,1,100.0,33.4,99.29,0.0,33.6,3.1,4.5
9,9,2015-01-02 18:27:00,"г Москва, ул Верхние Поля, 48А",55.656667,37.818889,3,1.0,0.0,2,100.0,33.2,98.49,0.0,33.6,3.8,7.9
10,10,2015-01-02 19:50:00,"г Серпухов, ул Ворошилова, 1",54.911944,37.408056,1,0.0,5.0,3,100.0,31.7,98.47,0.0,32.1,5.0,7.7
11,11,2015-01-02 20:24:00,"г Москва, ул Привольная, 56",55.684167,37.841667,3,0.0,1.0,1,100.0,33.2,98.59,0.0,33.6,3.7,7.4
12,12,2015-01-02 21:15:00,"г Москва, ш Варшавское, 196 Д, стр",55.543889,37.584167,1,0.0,2.0,3,100.0,33.0,97.35,0.0,33.6,3.9,10.0
13,13,2015-01-02 21:45:00,"г Химки, проезд Коммунальный, 2",55.905556,37.428056,1,0.0,1.0,3,100.0,33.6,99.63,0.0,33.7,3.6,11.1
14,14,2015-01-02 22:50:00,"г Балашиха, М-7 Волга Москва - Владимир - Нижний Новгород - Казань - Уфа (основное направление), 22 км",55.794444,37.946111,2,0.0,1.0,1,100.0,33.2,98.82,0.0,33.5,3.3,6.6
15,15,2015-01-02 23:15:00,"А-108 Московское большое кольцо Дмитров - Сергиев Посад - Орехово-Зуево - Воскресенск - Михнево - Балабаново - Руза - Клин - Дмитров, 20 км",55.341944,38.679167,1,1.0,0.0,2,100.0,32.3,98.06,0.0,32.8,4.2,8.4
